% Filename : LM_Channel_0180_vel_fluc_prof.dat 
% 
% Description : Variance and covariance of velocity components 
% 
% Total number of data points  : 96
% 
% 
% 
% 
% The data in this file was extracted from a direct numerical simulation 
% of fully developed plane turbulent channel flow. The file is available at 
% http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
% 
% When publishing results using this data, the following paper should be 
% cited as the source:  
% 
%    Myoungkyu Lee and Robert D. Moser,  
%    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
%    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
% 
% The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
% 
% NOTE: before publication, please check 
% http://turbulence.ices.utexas.edu for any updates to the data and an 
% updated citation 
% 
% 
% Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mnlee@sandia.gov) for questions.
% 
% 
% The parameters defining the simulation from which this data were extracted are: 
% 
%  Grid (streamwise)       nx = 1024 
%  Grid (wall-normal)      ny = 192 
%  Grid (spanwise)         nz = 512 
%  Streamwise domain size  Lx = 8pi 
%  Spanwise domain size    Lz = 3pi 
%  B-Spline order           n = 7 
%  Kinematic Viscosity     nu = 3.50000e-04 
%  Channel half width   delta = 1.000 
%  Avg streamwise vel  U_mean = 1.000 
%  Friction vel         u_tau = 6.37309e-02 
%  Re_tau              Re_tau =  182.088 
% 
% 
% All data are normalized by u_tau and nu (signified with a ^+) except 
% for y/delta 
% 
% This file was last updated on 6/15/2015.
% 
% 
% 
% Remark: 
% 
%      y/delta : Grid point in wall-normal direction, Normalized by channel half width 
%      y^+     : Grid point in wall-normal direction 
%      u'u'    : Variance of u 
%      v'v'    : Variance of v 
%      w'w'    : Variance of w 
%      u'v'    : Covariance of u and v 
%      u'w'    : Covariance of u and w 
%      v'w'    : Covariance of v and w 
%       k      : Turbulent kinetic energy, k = 0.5*(u'u' + v'v' + w'w')
% 
% *   Estimated standard deviations of datasets in this file are in the file: LM_Channel_0180_vel_fluc_stdev.dat 
% 
% **  Data at y/delta = 1.0 is not computed due to code performance optimization 
% 
% *** u'w' and v'w' should be zero due to (statistical) symmetries in the flow. 
%     These are reported here none-the-less as an indicator of the quality of the statistics.  
% 
% -----------End of header--------- 
% 
%         y/delta                    y^+                    u'u'                     v'v'                     w'w'                     u'v'                     u'w'                     v'w'                       k            
%--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1.435014205523744e-02    2.612994276497792e+00    9.030042061102461e-01    1.881702252633988e-03    1.569683248142247e-01   -1.443729770925802e-02   -3.100006363403420e-04    4.429117400153587e-06    5.309271165885524e-01
1.728282491824162e-02    3.147001780138933e+00    1.285473960840100e+00    3.474013279730353e-03    2.046903130216458e-01   -2.478251412511736e-02   -4.807346736090554e-04    6.113465687704205e-06    7.468191435707380e-01
2.049325197909280e-02    3.731583277857002e+00    1.757566875461422e+00    5.976855537301548e-03    2.571626895376743e-01   -4.005098962873516e-02   -7.147291281079425e-04    8.364558463294196e-06    1.010353210268199e+00
2.398051587857197e-02    4.366573550071815e+00    2.313568707715156e+00    9.682968084469855e-03    3.131277127299586e-01   -6.125843160568498e-02   -1.020889047314607e-03    1.215304759971547e-05    1.318189694264792e+00
2.774363101539001e-02    5.051793130230531e+00    2.937557397533012e+00    1.489855746534439e-02    3.714041572814114e-01   -8.907606121285619e-02   -1.400724710116752e-03    1.928077528686654e-05    1.661930056139884e+00
3.178153382474769e-02    5.787048355530207e+00    3.604094177442274e+00    2.192549761620867e-02    4.310059585634369e-01   -1.236529479789241e-01   -1.843654766150019e-03    3.212470619302420e-05    2.028512816810959e+00
3.609308307892944e-02    6.572131421652430e+00    4.281139627992105e+00    3.104477751788730e-02    4.911807223701868e-01   -1.645259902406629e-01   -2.325263778162770e-03    5.284987218374078e-05    2.401682563940089e+00
4.067706020984729e-02    7.406820441494814e+00    4.934499454073811e+00    4.250216402924679e-02    5.513739004205425e-01   -2.106457367971548e-01   -2.809969533481385e-03    8.230220383638322e-05    2.764187759261800e+00
4.553216965344320e-02    8.290879507882680e+00    5.532573639845174e+00    5.649592472004494e-02    6.111474817699647e-01   -2.605101038780337e-01   -3.256767762112449e-03    1.190196219349079e-04    3.100108523167592e+00
5.065703921585307e-02    9.224058760243272e+00    6.050190367179160e+00    7.316598711069011e-02    6.700904520324049e-01   -3.123678937631095e-01   -3.625970706785653e-03    1.588416298101141e-04    3.396723403161127e+00
5.605022046122787e-02    1.020609445522346e+01    6.470767249397223e+00    9.258423460511954e-02    7.277522907766807e-01   -3.644404601041661e-01   -3.886192019161250e-03    1.954819238075630e-04    3.645551887389512e+00
6.171018912110404e-02    1.123670904123138e+01    6.786672212006110e+00    1.147464080104718e-01    7.836167439319145e-01   -4.151141817981358e-01   -4.021285324071000e-03    2.221428939238174e-04    3.842517681974248e+00
6.763534552520467e-02    1.231561123688027e+01    6.998169300065741e+00    1.395668125823062e-01    8.371159630122439e-01   -4.630725617252414e-01   -4.033978841894633e-03    2.337586310281811e-04    3.987426037830145e+00
7.382401505355363e-02    1.344249611331326e+01    7.111571191330707e+00    1.668773391292721e-01    8.876718001968574e-01   -5.073569591904077e-01   -3.940943700915009e-03    2.288665132695295e-04    4.083060165328418e+00
8.027444860977029e-02    1.461704518038482e+01    7.137185486976591e+00    1.964317512793433e-01    9.347498174610019e-01   -5.473635479152128e-01   -3.761972114774689e-03    2.100688364796216e-04    4.134183527858468e+00
8.698482311541555e-02    1.583892647667542e+01    7.087461053574459e+00    2.279146587621944e-01    9.779160784082549e-01   -5.827977012925378e-01   -3.517696108997833e-03    1.828912795241122e-04    4.146645895372454e+00
9.395324202524546e-02    1.710779466331326e+01    6.975545685815461e+00    2.609533892848973e-01    1.016886470307611e+00   -6.136109637722089e-01   -3.239029491621754e-03    1.536503143288673e-04    4.126692772703985e+00
1.011777358632303e-01    1.842329112157711e+01    6.814305655229990e+00    2.951317284516913e-01    1.051549925198251e+00   -6.399377923894832e-01   -2.967641865584488e-03    1.269028997699681e-04    4.080493654439966e+00
1.086562627791852e-01    1.978504405425227e+01    6.615725504926782e+00    3.300060469979136e-01    1.081951174742895e+00   -6.620379318499212e-01   -2.738023735879769e-03    1.029228716138096e-04    4.013841363333796e+00
1.163867091258549e-01    2.119266859071105e+01    6.390540369254428e+00    3.651238428040604e-01    1.108250168604558e+00   -6.802449975302707e-01   -2.558656797654028e-03    7.654596142267289e-05    3.931957190331523e+00
1.243668900562930e-01    2.264576689568853e+01    6.147999332392456e+00    4.000422376135963e-01    1.130679267462661e+00   -6.949229934765893e-01   -2.416330444185326e-03    3.990530198987087e-05    3.839360418734357e+00
1.325945501413611e-01    2.414392828172205e+01    5.895781947952612e+00    4.343428110358218e-01    1.149512335600587e+00   -7.064358337372721e-01   -2.303625319281999e-03   -1.217231993734583e-05    3.739818547294510e+00
1.410673640071792e-01    2.568672932522346e+01    5.640075490842833e+00    4.676414979150602e-01    1.165063287201983e+00   -7.151302747594200e-01   -2.234126607867923e-03   -7.990585157883356e-05    3.636390137979938e+00
1.497829369923429e-01    2.727373398615082e+01    5.385713819720552e+00    4.995950669946094e-01    1.177682116593644e+00   -7.213258879891671e-01   -2.220624349637727e-03   -1.601203270043666e-04    3.531495501654403e+00
1.587388058247237e-01    2.890449373124580e+01    5.136310662215883e+00    5.299066871334679e-01    1.187698598269487e+00   -7.253071180724344e-01   -2.229705426593644e-03   -2.470788443933849e-04    3.426957973809419e+00
1.679324393176608e-01    3.057854766080223e+01    4.894432578056702e+00    5.583308932665647e-01    1.195349836705390e+00   -7.273216287106403e-01   -2.187437744566350e-03   -3.310242662661320e-04    3.324056654014328e+00
1.773612390853474e-01    3.229542263892949e+01    4.661828881251393e+00    5.846738352501643e-01    1.200777130932668e+00   -7.275851163762949e-01   -2.037153021536338e-03   -3.983319187845305e-04    3.223639923717113e+00
1.870225402772094e-01    3.405463342727447e+01    4.439651683136095e+00    6.087874505136931e-01    1.204068969179130e+00   -7.262894066615304e-01   -1.760555163702910e-03   -4.350371701847437e-04    3.126254051414459e+00
1.969136123310693e-01    3.585568282216393e+01    4.228636977908869e+00    6.305627855194600e-01    1.205306588181846e+00   -7.236096943451600e-01   -1.378282378854456e-03   -4.319911309587440e-04    3.032253175805087e+00
2.070316597448810e-01    3.769806179512845e+01    4.029219604518538e+00    6.499254067700020e-01    1.204603737601327e+00   -7.197078748144099e-01   -9.323917755932235e-04   -3.901763917769860e-04    2.941874374444934e+00
2.173738228668202e-01    3.958124963676869e+01    3.841563803636607e+00    6.668335126971232e-01    1.202109939818581e+00   -7.147279291274066e-01   -4.300027375497871e-04   -3.236835229084432e-04    2.855253628076156e+00
2.279371787035034e-01    4.150471410392278e+01    3.665649442662427e+00    6.812802420727614e-01    1.197955811716675e+00   -7.087933055330146e-01    1.607439059302626e-04   -2.538318220542835e-04    2.772442748225932e+00
2.387187417461112e-01    4.346791157009366e+01    3.501305697092415e+00    6.932974199372344e-01    1.192233834907750e+00   -7.020102624213523e-01    8.237747050046810e-04   -1.966732980754288e-04    2.693418475968699e+00
2.497154648141782e-01    4.547028717909350e+01    3.348114353008088e+00    7.029544980163210e-01    1.185013911058321e+00   -6.944656354504497e-01    1.454341359633410e-03   -1.613164828383525e-04    2.618041381041365e+00
2.609242399168145e-01    4.751127500186213e+01    3.205494932430396e+00    7.103538944888320e-01    1.176320432169721e+00   -6.862357308376866e-01    1.959639646488430e-03   -1.537431130211104e-04    2.546084629544475e+00
2.723418991311134e-01    4.959029819641487e+01    3.072772076009126e+00    7.156266546489503e-01    1.166134289250616e+00   -6.773922188701498e-01    2.309290840286335e-03   -1.773156461991713e-04    2.477266509954346e+00
2.839652154974980e-01    5.170676917087474e+01    2.949169988986605e+00    7.189229668705405e-01    1.154486440940022e+00   -6.680053779441206e-01    2.499976788073883e-03   -2.351492080062725e-04    2.411289698398584e+00
2.957909039317521e-01    5.386008974954277e+01    2.833846995605930e+00    7.203969833535174e-01    1.141516043713122e+00   -6.581354263583181e-01    2.561869242563920e-03   -3.311316974585488e-04    2.347880011336284e+00
3.078156221534808e-01    5.604965134195976e+01    2.725979006464188e+00    7.201967935939482e-01    1.127370232039336e+00   -6.478250689458996e-01    2.534053468458455e-03   -4.611356176364177e-04    2.286773016048735e+00
3.200359716307346e-01    5.827483511491153e+01    2.624840453021476e+00    7.184637572275535e-01    1.112131311526296e+00   -6.371120844462485e-01    2.456549901803991e-03   -6.111086884304180e-04    2.227717760887662e+00
3.324484985405327e-01    6.053501216732891e+01    2.529848613407041e+00    7.153312543391988e-01    1.095845701656183e+00   -6.260368152440212e-01    2.381089498140254e-03   -7.628492013225013e-04    2.170512784701211e+00
3.450496947450128e-01    6.282954370803339e+01    2.440567649693122e+00    7.109229884637170e-01    1.078544651922933e+00   -6.146429173809310e-01    2.367486571712267e-03   -8.999629407475921e-04    2.115017645039886e+00
3.578359987829319e-01    6.515778123627788e+01    2.356563806920857e+00    7.053598573623028e-01    1.060314641868135e+00   -6.029731175551688e-01    2.496972354033792e-03   -1.015136988364067e-03    2.061119153075647e+00
3.708037968762384e-01    6.751906672503175e+01    2.277335794242843e+00    6.987640949894653e-01    1.041319233268359e+00   -5.910654222816102e-01    2.845998640702150e-03   -1.113616926599796e-03    2.008709561250334e+00
3.839494239514293e-01    6.991273280695820e+01    2.202380896558433e+00    6.912567491742524e-01    1.021697879624267e+00   -5.789535263668483e-01    3.401890262359971e-03   -1.198344402333966e-03    1.957667762678476e+00
3.972691646754060e-01    7.233810296303152e+01    2.131266608674302e+00    6.829581805999713e-01    1.001499303951455e+00   -5.666650913963455e-01    4.016370037409974e-03   -1.260136214774683e-03    1.907862046612864e+00
4.107592545055342e-01    7.479449171374085e+01    2.063673699839236e+00    6.739813786066426e-01    9.807691236192490e-01   -5.542161714528975e-01    4.568033725274978e-03   -1.287639218275251e-03    1.859212101032564e+00
4.244158807536126e-01    7.728120481282647e+01    1.999282977589784e+00    6.644225947783102e-01    9.596318176364662e-01   -5.416040178345984e-01    5.060511273011589e-03   -1.271942285785876e-03    1.811668695002280e+00
4.382351836634480e-01    7.979753944349379e+01    1.937671653776618e+00    6.543654257191728e-01    9.382206840958313e-01   -5.288039485356459e-01    5.486342597204513e-03   -1.206910930058769e-03    1.765128881795811e+00
4.522132575017341e-01    8.234278441704960e+01    1.878410335876235e+00    6.438873001651825e-01    9.166058741840571e-01   -5.157935550467360e-01    5.764506589811469e-03   -1.098787040128556e-03    1.719451755112738e+00
4.663461516619241e-01    8.491622037390462e+01    1.821126579986978e+00    6.330650549435660e-01    8.947953366943413e-01   -5.025737877437670e-01    5.830139785116377e-03   -9.609378719124109e-04    1.674493485812443e+00
4.806298717807854e-01    8.751711998688504e+01    1.765557136750550e+00    6.219792445238524e-01    8.727530610721900e-01   -4.891682829628360e-01    5.712978011749745e-03   -8.135713808760073e-04    1.630144721173296e+00
4.950603808673232e-01    9.014474816679636e+01    1.711598271299144e+00    6.107093911870913e-01    8.504764862700621e-01   -4.756046445161842e-01    5.464597516362952e-03   -6.826254122585260e-04    1.586392074378149e+00
5.096336004437489e-01    9.279836227018066e+01    1.659178894649722e+00    5.993241534323628e-01    8.280774043450143e-01   -4.618972357770627e-01    5.103783526860051e-03   -5.830036869837184e-04    1.543290226213550e+00
5.243454116981767e-01    9.547721230920904e+01    1.608106106913973e+00    5.878757343178993e-01    8.057035406618086e-01   -4.480411894123139e-01    4.665585660043504e-03   -5.154823420070408e-04    1.500842690946840e+00
5.391916566487176e-01    9.818054116364982e+01    1.558194348939364e+00    5.764041781234935e-01    7.834363696390719e-01   -4.340268696782310e-01    4.183739006094580e-03   -4.648822626661679e-04    1.459017448350965e+00
5.541681393186459e-01    1.009075847948527e+02    1.509328109955840e+00    5.649456149049232e-01    7.613121684312338e-01   -4.198594295101192e-01    3.706632267552130e-03   -4.144616124987581e-04    1.417792946645998e+00
5.692706269223023e-01    1.036575724616876e+02    1.461472709454183e+00    5.535362552152869e-01    7.393711234520630e-01   -4.055493911609468e-01    3.287671686273631e-03   -3.577150028961410e-04    1.377190044060766e+00
5.844948510614016e-01    1.064297269383792e+02    1.414624436963476e+00    5.422130782052121e-01    7.176348569265408e-01   -3.911008237579440e-01    2.953172799969109e-03   -2.995286272102496e-04    1.337236186047614e+00
5.998365089314049e-01    1.092232647341723e+02    1.368656225775355e+00    5.310163972069326e-01    6.961218131920706e-01   -3.765180498079873e-01    2.688330805116054e-03   -2.425691811624116e-04    1.297897218087179e+00
6.152912645376163e-01    1.120373963147697e+02    1.323410189059603e+00    5.199861330288058e-01    6.748791394368789e-01   -3.618080560955028e-01    2.445709101127807e-03   -1.856180425716649e-04    1.259137730762644e+00
6.308547499206600e-01    1.148713263254770e+02    1.278854291715611e+00    5.091553856752683e-01    6.539763618364768e-01   -3.469759850557261e-01    2.172645543915889e-03   -1.327371091492665e-04    1.220993019613678e+00
6.465225663909910e-01    1.177242538159927e+02    1.235011823731941e+00    4.985545370331222e-01    6.334964371900061e-01   -3.320274232978602e-01    1.876071240591150e-03   -8.936593856288789e-05    1.183531398977534e+00
6.622902857720927e-01    1.205953724667802e+02    1.191900418256978e+00    4.882190760212318e-01    6.135240905866135e-01   -3.169749841707908e-01    1.594904942100854e-03   -6.016844378148744e-05    1.146821792432412e+00
6.781534516520057e-01    1.234838708169564e+02    1.149547070222213e+00    4.781935547339069e-01    5.940803576887728e-01   -3.018390210760299e-01    1.362752110767661e-03   -4.246268741347440e-05    1.110910491322447e+00
6.941075806428396e-01    1.263889324936345e+02    1.107995314317987e+00    4.685304758771236e-01    5.751185976633527e-01   -2.866404574479778e-01    1.206131542830833e-03   -3.236460492895014e-05    1.075822193929232e+00
7.101481636479068e-01    1.293097364426540e+02    1.067285373479034e+00    4.592791073977226e-01    5.566262963414629e-01   -2.713932386017219e-01    1.132773917800305e-03   -3.358728554397998e-05    1.041595388609110e+00
7.262706671361236e-01    1.322454571606346e+02    1.027491885659801e+00    4.504741328256229e-01    5.386514966316802e-01   -2.561008322409477e-01    1.129363177421160e-03   -4.887482312935976e-05    1.008308757558552e+00
7.424705344233169e-01    1.351952649282874e+02    9.887267527821932e-01    4.421361366670500e-01    5.212969522249828e-01   -2.407598510283101e-01    1.183021266555332e-03   -7.882475405950803e-05    9.760799208371130e-01
7.587431869600734e-01    1.381583260449167e+02    9.510615443652650e-01    4.342794550312024e-01    5.046851337560493e-01   -2.253727999477634e-01    1.276354312916126e-03   -1.229987910536791e-04    9.450130665762584e-01
7.750840256257712e-01    1.411338030640490e+02    9.145368010196306e-01    4.269177170998431e-01    4.888995187175341e-01   -2.099468301088722e-01    1.394888406195720e-03   -1.789588531069746e-04    9.151770184185039e-01
7.914884320284229e-01    1.441208550301184e+02    8.792637294757265e-01    4.200604836495097e-01    4.740224607697816e-01   -1.944834291812943e-01    1.527052282704528e-03   -2.371562953891557e-04    8.866733369475089e-01
8.079517698099662e-01    1.471186377161457e+02    8.454806363459527e-01    4.137114195117813e-01    4.601442053661369e-01   -1.789831933863727e-01    1.656425676713007e-03   -2.821620697812795e-04    8.596681306119355e-01
8.244693859566329e-01    1.501263038623408e+02    8.134645895824929e-01    4.078762747892916e-01    4.473034358822361e-01   -1.634553752101731e-01    1.774145641842288e-03   -3.020770671457589e-04    8.343221501270103e-01
8.410366121140243e-01    1.531430034155628e+02    7.834469291993515e-01    4.025664827829036e-01    4.354757948077720e-01   -1.479071959121091e-01    1.885595994447264e-03   -2.933843860174539e-04    8.107446033950136e-01
8.576487659065226e-01    1.561678837695700e+02    7.556501883031875e-01    3.977920048104151e-01    4.246495955335293e-01   -1.323373990722959e-01    1.993686509819088e-03   -2.603081673841108e-04    7.890458943235659e-01
8.743011522606657e-01    1.592000900059901e+02    7.303066895575522e-01    3.935575537111211e-01    4.148564022929724e-01   -1.167442645221760e-01    2.081579626641147e-03   -2.164475673672582e-04    7.693603227808229e-01
8.909890647321099e-01    1.622387651359457e+02    7.076353547556795e-01    3.898636529269431e-01    4.061566145159249e-01   -1.011321307152500e-01    2.118496532859059e-03   -1.752716317853477e-04    7.518278110992738e-01
9.077077868358066e-01    1.652830503422634e+02    6.878334025756789e-01    3.867052807121917e-01    3.986304651355703e-01   -8.551772378290363e-02    2.085369713259786e-03   -1.416438682597360e-04    7.365845742117205e-01
9.244525933790173e-01    1.683320852222006e+02    6.710481862161358e-01    3.840752847731103e-01    3.923507074572275e-01   -6.992134223657946e-02    1.987897193073528e-03   -1.148241253355930e-04    7.237370892232368e-01
9.412187517967892e-01    1.713850080306200e+02    6.573929167875595e-01    3.819697062910452e-01    3.873618049970531e-01   -5.435220112394170e-02    1.855609279637495e-03   -9.247176522816304e-05    7.133622140378290e-01
9.580015234895140e-01    1.744409559235437e+02    6.469951284853208e-01    3.803884248621026e-01    3.836717611745724e-01   -3.880604703022857e-02    1.725743121110518e-03   -7.086048944475363e-05    7.055276572609979e-01
9.747961651621934e-01    1.774990652020178e+02    6.400011433523356e-01    3.793335147711628e-01    3.812475507865301e-01   -2.327608979168133e-02    1.628870052408131e-03   -4.552829175292695e-05    7.002911044550142e-01
9.915979301650304e-01    1.805584715562184e+02    6.364999168940690e-01    3.788062845778146e-01    3.800444565791506e-01   -7.757293224883197e-03    1.578921969181824e-03   -1.580629258953754e-05    6.976753290255171e-01
