% Filename : LM_Channel_0180_mean_vel_fluc_prof.dat 
% 
% Description : Profiles of the mean velocity and pressure and the variance and covariance of velocity components 
%               This entails the columns of the following files of the original database:
%                 - LM_Channel_0180_mean_prof.dat 
%                 - LM_Channel_0180_vel_fluc_prof.dat 
% 
% Total number of data points  : 96
% 
% 
% 
% 
% The data in this file was extracted from a direct numerical simulation 
% of fully developed plane turbulent channel flow. The file is available at 
% http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
% 
% When publishing results using this data, the following paper should be 
% cited as the source:  
% 
%    Myoungkyu Lee and Robert D. Moser,  
%    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
%    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
% 
% The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
% 
% NOTE: before publication, please check 
% http://turbulence.ices.utexas.edu for any updates to the data and an 
% updated citation 
% 
% 
% Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mnlee@sandia.gov) for questions.
% 
% 
% The parameters defining the simulation from which this data were extracted are: 
% 
%  Grid (streamwise)       nx = 1024 
%  Grid (wall-normal)      ny = 192 
%  Grid (spanwise)         nz = 512 
%  Streamwise domain size  Lx = 8pi 
%  Spanwise domain size    Lz = 3pi 
%  B-Spline order           n = 7 
%  Kinematic Viscosity     nu = 3.50000e-04 
%  Channel half width   delta = 1.000 
%  Avg streamwise vel  U_mean = 1.000 
%  Friction vel         u_tau = 6.37309e-02 
%  Re_tau              Re_tau =  182.088 
% 
% 
% All data are normalized by u_tau and nu (signified with a ^+) except 
% for y/delta 
% 
% This file was last updated on 6/15/2015.
% Files noted above merged on 11/06/2024
% 
% 
% 
% Remark: 
% 
%      y/delta : Grid point in wall-normal direction, Normalized by channel half width 
%      y^+     : Grid point in wall-normal direction 
%      U       : Mean profile of streamwise velocity 
%    dU/dy     : Derivative of U in wall-normal direction 
%      W       : Mean profile of spanwise velocity 
%      P       : Mean profile of pressure 
%      u'u'    : Variance of u 
%      v'v'    : Variance of v 
%      w'w'    : Variance of w 
%      u'v'    : Covariance of u and v 
%      u'w'    : Covariance of u and w 
%      v'w'    : Covariance of v and w 
%       k      : Turbulent kinetic energy, k = 0.5*(u'u' + v'v' + w'w')
% 
% *   Estimated standard deviations of datasets in this file are in the file: LM_Channel_0180_vel_fluc_stdev.dat 
% 
% **  Data at y/delta = 1.0 is not computed due to code performance optimization 
% 
% *** u'w' and v'w' should be zero due to (statistical) symmetries in the flow. 
%     These are reported here none-the-less as an indicator of the quality of the statistics.  
% 
% -----------End of header--------- 
% 
%         y/delta                    y^+                   U                      dU/dy                      W                        P                       u'u'                     v'v'                     w'w'                     u'v'                     u'w'                     v'w'                       k            
%----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
9.321245632810338e-03    1.697290618769450e+00    1.687704824580202e+00    9.866998507385480e-01    2.202379253568042e-04   -4.226253423479958e-04  3.883935199435281e-01    4.226253423479956e-04    8.011913992250493e-02   -3.972620854001036e-03   -1.113855087896860e-04    1.828090760314346e-06    2.344676426041905e-01
1.169603225078431e-02    2.129711692845490e+00    2.113080599960335e+00    9.804277480906044e-01    2.776567642047383e-04   -9.375299630725359e-04  6.070607488327139e-01    9.375299630725357e-04    1.151549850793733e-01   -7.866125207985528e-03   -1.908076683546917e-04    2.997779153363569e-06    3.615766319375798e-01
1.435014205523744e-02    2.612994276497792e+00    2.584774989317042e+00    9.711969410859870e-01    3.427520101039808e-04   -1.881702252633989e-03  9.030042061102461e-01    1.881702252633988e-03    1.569683248142247e-01   -1.443729770925802e-02   -3.100006363403420e-04    4.429117400153587e-06    5.309271165885524e-01
1.728282491824162e-02    3.147001780138933e+00    3.100004373195065e+00    9.579112490567936e-01    4.157998337811938e-04   -3.474013279730355e-03  1.285473960840100e+00    3.474013279730353e-03    2.046903130216458e-01   -2.478251412511736e-02   -4.807346736090554e-04    6.113465687704205e-06    7.468191435707380e-01
2.049325197909280e-02    3.731583277857002e+00    3.654779895855040e+00    9.394217193012723e-01    4.970573889077055e-04   -5.976855537301550e-03  1.757566875461422e+00    5.976855537301548e-03    2.571626895376743e-01   -4.005098962873516e-02   -7.147291281079425e-04    8.364558463294196e-06    1.010353210268199e+00
2.398051587857197e-02    4.366573550071815e+00    4.243706300018299e+00    9.147131970348874e-01    5.870163561684133e-04   -9.682968084469860e-03  2.313568707715156e+00    9.682968084469855e-03    3.131277127299586e-01   -6.125843160568498e-02   -1.020889047314607e-03    1.215304759971547e-05    1.318189694264792e+00
2.774363101539001e-02    5.051793130230531e+00    4.859931830114997e+00    8.831157028570847e-01    6.869903318480918e-04   -1.489855746534439e-02  2.937557397533012e+00    1.489855746534439e-02    3.714041572814114e-01   -8.907606121285619e-02   -1.400724710116752e-03    1.928077528686654e-05    1.661930056139884e+00
3.178153382474769e-02    5.787048355530207e+00    5.495307682429419e+00    8.444826176908573e-01    7.999468491279062e-04   -2.192549761620868e-02  3.604094177442274e+00    2.192549761620867e-02    4.310059585634369e-01   -1.236529479789241e-01   -1.843654766150019e-03    3.212470619302420e-05    2.028512816810959e+00
3.609308307892944e-02    6.572131421652430e+00    6.140767561712847e+00    7.992811299755326e-01    9.312370749465279e-04   -3.104477751788732e-02  4.281139627992105e+00    3.104477751788730e-02    4.911807223701868e-01   -1.645259902406629e-01   -2.325263778162770e-03    5.284987218374078e-05    2.401682563940089e+00
4.067706020984729e-02    7.406820441494814e+00    6.786879590617578e+00    7.485664371113741e-01    1.088735151491411e-03   -4.250216402924681e-02  4.934499454073811e+00    4.250216402924679e-02    5.513739004205425e-01   -2.106457367971548e-01   -2.809969533481385e-03    8.230220383638322e-05    2.764187759261800e+00
4.553216965344320e-02    8.290879507882680e+00    7.424476521405005e+00    6.938474476709270e-01    1.281998705419457e-03   -5.649592472004498e-02  5.532573639845174e+00    5.649592472004494e-02    6.111474817699647e-01   -2.605101038780337e-01   -3.256767762112449e-03    1.190196219349079e-04    3.100108523167592e+00
5.065703921585307e-02    9.224058760243272e+00    8.045252641938248e+00    6.368822289116224e-01    1.520373559899216e-03   -7.316598711069017e-02  6.050190367179160e+00    7.316598711069011e-02    6.700904520324049e-01   -3.123678937631095e-01   -3.625970706785653e-03    1.588416298101141e-04    3.396723403161127e+00
5.605022046122787e-02    1.020609445522346e+01    8.642230696990662e+00    5.794553387980897e-01    1.810394158772749e-03   -9.258423460511958e-02  6.470767249397223e+00    9.258423460511954e-02    7.277522907766807e-01   -3.644404601041661e-01   -3.886192019161250e-03    1.954819238075630e-04    3.645551887389512e+00
6.171018912110404e-02    1.123670904123138e+01    9.210040607552013e+00    5.231847960257031e-01    2.153252595819812e-03   -1.147464080104718e-01  6.786672212006110e+00    1.147464080104718e-01    7.836167439319145e-01   -4.151141817981358e-01   -4.021285324071000e-03    2.221428939238174e-04    3.842517681974248e+00
6.763534552520467e-02    1.231561123688027e+01    9.744998377122059e+00    4.693897276407423e-01    2.543361121464446e-03   -1.395668125823063e-01  6.998169300065741e+00    1.395668125823062e-01    8.371159630122439e-01   -4.630725617252414e-01   -4.033978841894633e-03    2.337586310281811e-04    3.987426037830145e+00
7.382401505355363e-02    1.344249611331326e+01    1.024501391087453e+01    4.190292015165136e-01    2.968871483883799e-03   -1.668773391292722e-01  7.111571191330707e+00    1.668773391292721e-01    8.876718001968574e-01   -5.073569591904077e-01   -3.940943700915009e-03    2.288665132695295e-04    4.083060165328418e+00
8.027444860977029e-02    1.461704518038482e+01    1.070938142498578e+01    3.727047295375231e-01    3.414235706173621e-03   -1.964317512793433e-01  7.137185486976591e+00    1.964317512793433e-01    9.347498174610019e-01   -5.473635479152128e-01   -3.761972114774689e-03    2.100688364796216e-04    4.134183527858468e+00
8.698482311541555e-02    1.583892647667542e+01    1.113851203659422e+01    3.307061931088559e-01    3.863902056983745e-03   -2.279146587621945e-01  7.087461053574459e+00    2.279146587621944e-01    9.779160784082549e-01   -5.827977012925378e-01   -3.517696108997833e-03    1.828912795241122e-04    4.146645895372454e+00
9.395324202524546e-02    1.710779466331326e+01    1.153365672387442e+01    2.930765061612766e-01    4.305915013832057e-03   -2.609533892848976e-01  6.975545685815461e+00    2.609533892848973e-01    1.016886470307611e+00   -6.136109637722089e-01   -3.239029491621754e-03    1.536503143288673e-04    4.126692772703985e+00
1.011777358632303e-01    1.842329112157711e+01    1.189664875554680e+01    2.596769290234392e-01    4.734430862740905e-03   -2.951317284516914e-01  6.814305655229990e+00    2.951317284516913e-01    1.051549925198251e+00   -6.399377923894832e-01   -2.967641865584488e-03    1.269028997699681e-04    4.080493654439966e+00
1.086562627791852e-01    1.978504405425227e+01    1.222968022110438e+01    2.302458074538069e-01    5.149984922797677e-03   -3.300060469979137e-01  6.615725504926782e+00    3.300060469979136e-01    1.081951174742895e+00   -6.620379318499212e-01   -2.738023735879769e-03    1.029228716138096e-04    4.013841363333796e+00
1.163867091258549e-01    2.119266859071105e+01    1.253512087802303e+01    2.044500277687261e-01    5.556102756957544e-03   -3.651238428040606e-01  6.390540369254428e+00    3.651238428040604e-01    1.108250168604558e+00   -6.802449975302707e-01   -2.558656797654028e-03    7.654596142267289e-05    3.931957190331523e+00
1.243668900562930e-01    2.264576689568853e+01    1.281538406627490e+01    1.819277129235022e-01    5.953374203981132e-03   -4.000422376135964e-01  6.147999332392456e+00    4.000422376135963e-01    1.130679267462661e+00   -6.949229934765893e-01   -2.416330444185326e-03    3.990530198987087e-05    3.839360418734357e+00
1.325945501413611e-01    2.414392828172205e+01    1.307283702093434e+01    1.623181884974760e-01    6.335902459868011e-03   -4.343428110358218e-01  5.895781947952612e+00    4.343428110358218e-01    1.149512335600587e+00   -7.064358337372721e-01   -2.303625319281999e-03   -1.217231993734583e-05    3.739818547294510e+00
1.410673640071792e-01    2.568672932522346e+01    1.330974505927395e+01    1.452789304445792e-01    6.692446693131045e-03   -4.676414979150606e-01  5.640075490842833e+00    4.676414979150602e-01    1.165063287201983e+00   -7.151302747594200e-01   -2.234126607867923e-03   -7.990585157883356e-05    3.636390137979938e+00
1.497829369923429e-01    2.727373398615082e+01    1.352823955157148e+01    1.304953753254946e-01    7.009010204191536e-03   -4.995950669946096e-01  5.385713819720552e+00    4.995950669946094e-01    1.177682116593644e+00   -7.213258879891671e-01   -2.220624349637727e-03   -1.601203270043666e-04    3.531495501654403e+00
1.587388058247237e-01    2.890449373124580e+01    1.373030473089859e+01    1.176861499373032e-01    7.269991172684287e-03   -5.299066871334683e-01  5.136310662215883e+00    5.299066871334679e-01    1.187698598269487e+00   -7.253071180724344e-01   -2.229705426593644e-03   -2.470788443933849e-04    3.426957973809419e+00
1.679324393176608e-01    3.057854766080223e+01    1.391777480993175e+01    1.066003685262251e-01    7.458959373523459e-03   -5.583308932665648e-01  4.894432578056702e+00    5.583308932665647e-01    1.195349836705390e+00   -7.273216287106403e-01   -2.187437744566350e-03   -3.310242662661320e-04    3.324056654014328e+00
1.773612390853474e-01    3.229542263892949e+01    1.409232889493074e+01    9.700970204405358e-02    7.560456955949043e-03   -5.846738352501649e-01  4.661828881251393e+00    5.846738352501643e-01    1.200777130932668e+00   -7.275851163762949e-01   -2.037153021536338e-03   -3.983319187845305e-04    3.223639923717113e+00
1.870225402772094e-01    3.405463342727447e+01    1.425548107028632e+01    8.870468317229871e-02    7.562647365869345e-03   -6.087874505136935e-01  4.439651683136095e+00    6.087874505136931e-01    1.204068969179130e+00   -7.262894066615304e-01   -1.760555163702910e-03   -4.350371701847437e-04    3.126254051414459e+00
1.969136123310693e-01    3.585568282216393e+01    1.440857572773767e+01    8.149782030583137e-02    7.460728884611943e-03   -6.305627855194603e-01  4.228636977908869e+00    6.305627855194600e-01    1.205306588181846e+00   -7.236096943451600e-01   -1.378282378854456e-03   -4.319911309587440e-04    3.032253175805087e+00
2.070316597448810e-01    3.769806179512845e+01    1.455279522098163e+01    7.522750682532020e-02    7.257838954649102e-03   -6.499254067700024e-01  4.029219604518538e+00    6.499254067700020e-01    1.204603737601327e+00   -7.197078748144099e-01   -9.323917755932235e-04   -3.901763917769860e-04    2.941874374444934e+00
2.173738228668202e-01    3.958124963676869e+01    1.468917982624352e+01    6.976068562399290e-02    6.960209822547269e-03   -6.668335126971237e-01  3.841563803636607e+00    6.668335126971232e-01    1.202109939818581e+00   -7.147279291274066e-01   -4.300027375497871e-04   -3.236835229084432e-04    2.855253628076156e+00
2.279371787035034e-01    4.150471410392278e+01    1.481865160708460e+01    6.498634826055803e-02    6.572368796462971e-03   -6.812802420727616e-01  3.665649442662427e+00    6.812802420727614e-01    1.197955811716675e+00   -7.087933055330146e-01    1.607439059302626e-04   -2.538318220542835e-04    2.772442748225932e+00
2.387187417461112e-01    4.346791157009366e+01    1.494202783963920e+01    6.080915603012853e-02    6.101872903368271e-03   -6.932974199372346e-01  3.501305697092415e+00    6.932974199372344e-01    1.192233834907750e+00   -7.020102624213523e-01    8.237747050046810e-04   -1.966732980754288e-04    2.693418475968699e+00
2.497154648141782e-01    4.547028717909350e+01    1.506003393260543e+01    5.714880785421916e-02    5.564515358836766e-03   -7.029544980163213e-01  3.348114353008088e+00    7.029544980163210e-01    1.185013911058321e+00   -6.944656354504497e-01    1.454341359633410e-03   -1.613164828383525e-04    2.618041381041365e+00
2.609242399168145e-01    4.751127500186213e+01    1.517331326548546e+01    5.393450966633189e-02    4.978896674392116e-03   -7.103538944888323e-01  3.205494932430396e+00    7.103538944888320e-01    1.176320432169721e+00   -6.862357308376866e-01    1.959639646488430e-03   -1.537431130211104e-04    2.546084629544475e+00
2.723418991311134e-01    4.959029819641487e+01    1.528243123923937e+01    5.110357248076656e-02    4.361845128699545e-03   -7.156266546489505e-01  3.072772076009126e+00    7.156266546489503e-01    1.166134289250616e+00   -6.773922188701498e-01    2.309290840286335e-03   -1.773156461991713e-04    2.477266509954346e+00
2.839652154974980e-01    5.170676917087474e+01    1.538788055948672e+01    4.860050225801832e-02    3.727628535693526e-03   -7.189229668705408e-01  2.949169988986605e+00    7.189229668705405e-01    1.154486440940022e+00   -6.680053779441206e-01    2.499976788073883e-03   -2.351492080062725e-04    2.411289698398584e+00
2.957909039317521e-01    5.386008974954277e+01    1.549008706384810e+01    4.637853500094039e-02    3.080029243315233e-03   -7.203969833535177e-01  2.833846995605930e+00    7.203969833535174e-01    1.141516043713122e+00   -6.581354263583181e-01    2.561869242563920e-03   -3.311316974585488e-04    2.347880011336284e+00
3.078156221534808e-01    5.604965134195976e+01    1.558942301410648e+01    4.440082091169724e-02    2.413674176938853e-03   -7.201967935939485e-01  2.725979006464188e+00    7.201967935939482e-01    1.127370232039336e+00   -6.478250689458996e-01    2.534053468458455e-03   -4.611356176364177e-04    2.286773016048735e+00
3.200359716307346e-01    5.827483511491153e+01    1.568621884292019e+01    4.263783561430177e-02    1.726462760935655e-03   -7.184637572275540e-01  2.624840453021476e+00    7.184637572275535e-01    1.112131311526296e+00   -6.371120844462485e-01    2.456549901803991e-03   -6.111086884304180e-04    2.227717760887662e+00
3.324484985405327e-01    6.053501216732891e+01    1.578077224609848e+01    4.106460264208659e-02    1.022857188184387e-03   -7.153312543391990e-01  2.529848613407041e+00    7.153312543391988e-01    1.095845701656183e+00   -6.260368152440212e-01    2.381089498140254e-03   -7.628492013225013e-04    2.170512784701211e+00
3.450496947450128e-01    6.282954370803339e+01    1.587334286808345e+01    3.965033141663925e-02    3.170391254604490e-04   -7.109229884637174e-01  2.440567649693122e+00    7.109229884637170e-01    1.078544651922933e+00   -6.146429173809310e-01    2.367486571712267e-03   -8.999629407475921e-04    2.115017645039886e+00
3.578359987829319e-01    6.515778123627788e+01    1.596412975734469e+01    3.835769658422752e-02   -3.661620857747336e-04   -7.053598573623031e-01  2.356563806920857e+00    7.053598573623028e-01    1.060314641868135e+00   -6.029731175551688e-01    2.496972354033792e-03   -1.015136988364067e-03    2.061119153075647e+00
3.708037968762384e-01    6.751906672503175e+01    1.605326477692437e+01    3.715523903818108e-02   -1.009063381194779e-03   -6.987640949894657e-01  2.277335794242843e+00    6.987640949894653e-01    1.041319233268359e+00   -5.910654222816102e-01    2.845998640702150e-03   -1.113616926599796e-03    2.008709561250334e+00
3.839494239514293e-01    6.991273280695820e+01    1.614083393295078e+01    3.602643088467328e-02   -1.609188423017113e-03   -6.912567491742529e-01  2.202380896558433e+00    6.912567491742524e-01    1.021697879624267e+00   -5.789535263668483e-01    3.401890262359971e-03   -1.198344402333966e-03    1.957667762678476e+00
3.972691646754060e-01    7.233810296303152e+01    1.622691086719516e+01    3.496796994933367e-02   -2.158306662612424e-03   -6.829581805999717e-01  2.131266608674302e+00    6.829581805999713e-01    1.001499303951455e+00   -5.666650913963455e-01    4.016370037409974e-03   -1.260136214774683e-03    1.907862046612864e+00
4.107592545055342e-01    7.479449171374085e+01    1.631157316543736e+01    3.397727409612007e-02   -2.636800797848090e-03   -6.739813786066430e-01  2.063673699839236e+00    6.739813786066426e-01    9.807691236192490e-01   -5.542161714528975e-01    4.568033725274978e-03   -1.287639218275251e-03    1.859212101032564e+00
4.244158807536126e-01    7.728120481282647e+01    1.639489659673339e+01    3.304978660774737e-02   -3.029043622979509e-03   -6.644225947783107e-01  1.999282977589784e+00    6.644225947783102e-01    9.596318176364662e-01   -5.416040178345984e-01    5.060511273011589e-03   -1.271942285785876e-03    1.811668695002280e+00
4.382351836634480e-01    7.979753944349379e+01    1.647695509123589e+01    3.218204097885754e-02   -3.326991802372824e-03   -6.543654257191731e-01  1.937671653776618e+00    6.543654257191728e-01    9.382206840958313e-01   -5.288039485356459e-01    5.486342597204513e-03   -1.206910930058769e-03    1.765128881795811e+00
4.522132575017341e-01    8.234278441704960e+01    1.655781587009242e+01    3.136572707283594e-02   -3.532610982482783e-03   -6.438873001651828e-01  1.878410335876235e+00    6.438873001651825e-01    9.166058741840571e-01   -5.157935550467360e-01    5.764506589811469e-03   -1.098787040128556e-03    1.719451755112738e+00
4.663461516619241e-01    8.491622037390462e+01    1.663752457029348e+01    3.058856828458166e-02   -3.659096065406410e-03   -6.330650549435664e-01  1.821126579986978e+00    6.330650549435660e-01    8.947953366943413e-01   -5.025737877437670e-01    5.830139785116377e-03   -9.609378719124109e-04    1.674493485812443e+00
4.806298717807854e-01    8.751711998688504e+01    1.671610261599261e+01    2.984060525671526e-02   -3.729056670556125e-03   -6.219792445238528e-01  1.765557136750550e+00    6.219792445238524e-01    8.727530610721900e-01   -4.891682829628360e-01    5.712978011749745e-03   -8.135713808760073e-04    1.630144721173296e+00
4.950603808673232e-01    9.014474816679636e+01    1.679355083037899e+01    2.911204297610789e-02   -3.774788629232456e-03   -6.107093911870916e-01  1.711598271299144e+00    6.107093911870913e-01    8.504764862700621e-01   -4.756046445161842e-01    5.464597516362952e-03   -6.826254122585260e-04    1.586392074378149e+00
5.096336004437489e-01    9.279836227018066e+01    1.686984536077985e+01    2.839222757736588e-02   -3.826303402640215e-03   -5.993241534323632e-01  1.659178894649722e+00    5.993241534323628e-01    8.280774043450143e-01   -4.618972357770627e-01    5.103783526860051e-03   -5.830036869837184e-04    1.543290226213550e+00
5.243454116981767e-01    9.547721230920904e+01    1.694494145794289e+01    2.767496835968602e-02   -3.904379662479034e-03   -5.878757343178999e-01  1.608106106913973e+00    5.878757343178993e-01    8.057035406618086e-01   -4.480411894123139e-01    4.665585660043504e-03   -5.154823420070408e-04    1.500842690946840e+00
5.391916566487176e-01    9.818054116364982e+01    1.701878494354969e+01    2.695736362066252e-02   -4.012670855730723e-03   -5.764041781234940e-01  1.558194348939364e+00    5.764041781234935e-01    7.834363696390719e-01   -4.340268696782310e-01    4.183739006094580e-03   -4.648822626661679e-04    1.459017448350965e+00
5.541681393186459e-01    1.009075847948527e+02    1.709131719124343e+01    2.623832333804559e-02   -4.134444143605321e-03   -5.649456149049235e-01  1.509328109955840e+00    5.649456149049232e-01    7.613121684312338e-01   -4.198594295101192e-01    3.706632267552130e-03   -4.144616124987581e-04    1.417792946645998e+00
5.692706269223023e-01    1.036575724616876e+02    1.716248304359947e+01    2.552039019436244e-02   -4.253640494810806e-03   -5.535362552152875e-01  1.461472709454183e+00    5.535362552152869e-01    7.393711234520630e-01   -4.055493911609468e-01    3.287671686273631e-03   -3.577150028961410e-04    1.377190044060766e+00
5.844948510614016e-01    1.064297269383792e+02    1.723223831568594e+01    2.480724342010569e-02   -4.371462033277400e-03   -5.422130782052126e-01  1.414624436963476e+00    5.422130782052121e-01    7.176348569265408e-01   -3.911008237579440e-01    2.953172799969109e-03   -2.995286272102496e-04    1.337236186047614e+00
5.998365089314049e-01    1.092232647341723e+02    1.730054835940958e+01    2.410038154306752e-02   -4.493162136457002e-03   -5.310163972069329e-01  1.368656225775355e+00    5.310163972069326e-01    6.961218131920706e-01   -3.765180498079873e-01    2.688330805116054e-03   -2.425691811624116e-04    1.297897218087179e+00
6.152912645376163e-01    1.120373963147697e+02    1.736737943380800e+01    2.339747288814954e-02   -4.614643360635758e-03   -5.199861330288063e-01  1.323410189059603e+00    5.199861330288058e-01    6.748791394368789e-01   -3.618080560955028e-01    2.445709101127807e-03   -1.856180425716649e-04    1.259137730762644e+00
6.308547499206600e-01    1.148713263254770e+02    1.743268741395911e+01    2.269232098519974e-02   -4.731738574723724e-03   -5.091553856752686e-01  1.278854291715611e+00    5.091553856752683e-01    6.539763618364768e-01   -3.469759850557261e-01    2.172645543915889e-03   -1.327371091492665e-04    1.220993019613678e+00
6.465225663909910e-01    1.177242538159927e+02    1.749640807217664e+01    2.197623896180869e-02   -4.846353787103837e-03   -4.985545370331223e-01  1.235011823731941e+00    4.985545370331222e-01    6.334964371900061e-01   -3.320274232978602e-01    1.876071240591150e-03   -8.936593856288789e-05    1.183531398977534e+00
6.622902857720927e-01    1.205953724667802e+02    1.755845313180477e+01    2.124092144987956e-02   -4.965947884935674e-03   -4.882190760212323e-01  1.191900418256978e+00    4.882190760212318e-01    6.135240905866135e-01   -3.169749841707908e-01    1.594904942100854e-03   -6.016844378148744e-05    1.146821792432412e+00
